sub_bucket_id,gene
endothelial_cell_signature_louvain_0,APOLD1
endothelial_cell_signature_louvain_0,CD248
endothelial_cell_signature_louvain_0,COL14A1
endothelial_cell_signature_louvain_0,COL15A1
endothelial_cell_signature_louvain_0,COL18A1
endothelial_cell_signature_louvain_0,COL21A1
endothelial_cell_signature_louvain_0,COL3A1
endothelial_cell_signature_louvain_0,COL4A2
endothelial_cell_signature_louvain_0,COL5A2
endothelial_cell_signature_louvain_0,COL5A3
endothelial_cell_signature_louvain_0,COL6A3
endothelial_cell_signature_louvain_0,FSTL1
endothelial_cell_signature_louvain_0,IGBP1
endothelial_cell_signature_louvain_0,ITGA7
endothelial_cell_signature_louvain_0,ITGA9
endothelial_cell_signature_louvain_0,ITGB5
endothelial_cell_signature_louvain_0,LAMA4
endothelial_cell_signature_louvain_0,LAMB2
endothelial_cell_signature_louvain_0,MUSTN1
endothelial_cell_signature_louvain_0,NID1
endothelial_cell_signature_louvain_0,NID2
endothelial_cell_signature_louvain_0,NPDC1
endothelial_cell_signature_louvain_0,OLFML2B
endothelial_cell_signature_louvain_0,PCOLCE
endothelial_cell_signature_louvain_0,PILRA
endothelial_cell_signature_louvain_0,PLOD3
endothelial_cell_signature_louvain_0,TNMD
endothelial_cell_signature_louvain_1,ADAMTS1
endothelial_cell_signature_louvain_1,ADAMTS5
endothelial_cell_signature_louvain_1,CHSY3
endothelial_cell_signature_louvain_1,CPED1
endothelial_cell_signature_louvain_1,CSGALNACT1
endothelial_cell_signature_louvain_1,GALNT15
endothelial_cell_signature_louvain_1,GALNT3
endothelial_cell_signature_louvain_1,HAPLN2
endothelial_cell_signature_louvain_1,HAS2
endothelial_cell_signature_louvain_1,HTRA1
endothelial_cell_signature_louvain_1,IGFBP4
endothelial_cell_signature_louvain_1,IGFBP7
endothelial_cell_signature_louvain_1,MIR21
endothelial_cell_signature_louvain_1,MMP2
endothelial_cell_signature_louvain_1,MUC20
endothelial_cell_signature_louvain_1,SCUBE1
endothelial_cell_signature_louvain_1,SCUBE3
endothelial_cell_signature_louvain_1,TIMP3
endothelial_cell_signature_louvain_1,TTC28
endothelial_cell_signature_louvain_1,VCAN
endothelial_cell_signature_louvain_2,ABI3BP
endothelial_cell_signature_louvain_2,ANKH
endothelial_cell_signature_louvain_2,ASPN
endothelial_cell_signature_louvain_2,ATOH8
endothelial_cell_signature_louvain_2,CCDC3
endothelial_cell_signature_louvain_2,CYGB
endothelial_cell_signature_louvain_2,DDR2
endothelial_cell_signature_louvain_2,ECM2
endothelial_cell_signature_louvain_2,ELN
endothelial_cell_signature_louvain_2,FBLN2
endothelial_cell_signature_louvain_2,FBLN5
endothelial_cell_signature_louvain_2,FBN1
endothelial_cell_signature_louvain_2,GLT8D2
endothelial_cell_signature_louvain_2,ITIH5
endothelial_cell_signature_louvain_2,LUM
endothelial_cell_signature_louvain_2,MFAP3
endothelial_cell_signature_louvain_2,MFAP4
endothelial_cell_signature_louvain_2,MGP
endothelial_cell_signature_louvain_2,OLFML1
endothelial_cell_signature_louvain_2,POSTN
endothelial_cell_signature_louvain_2,PRELP
endothelial_cell_signature_louvain_2,PRRX1
endothelial_cell_signature_louvain_2,PRSS23
endothelial_cell_signature_louvain_2,SMOC2
endothelial_cell_signature_louvain_2,ZCCHC24
endothelial_cell_signature_louvain_2,ZNF532
endothelial_cell_signature_louvain_3,A2M
endothelial_cell_signature_louvain_3,ADAMTS12
endothelial_cell_signature_louvain_3,ANG
endothelial_cell_signature_louvain_3,APOE
endothelial_cell_signature_louvain_3,C3
endothelial_cell_signature_louvain_3,CALCA
endothelial_cell_signature_louvain_3,CALR
endothelial_cell_signature_louvain_3,CLEC3B
endothelial_cell_signature_louvain_3,DICER1
endothelial_cell_signature_louvain_3,FKBP7
endothelial_cell_signature_louvain_3,HSPA5
endothelial_cell_signature_louvain_3,NAGLU
endothelial_cell_signature_louvain_3,NCOA7
endothelial_cell_signature_louvain_3,PIEZO2
endothelial_cell_signature_louvain_3,PPARG
endothelial_cell_signature_louvain_3,RBMS1
endothelial_cell_signature_louvain_3,RNASE4
endothelial_cell_signature_louvain_3,THSD7A
endothelial_cell_signature_louvain_3,TRIM71
endothelial_cell_signature_louvain_3,ZNF362
endothelial_cell_signature_louvain_4,ACKR1
endothelial_cell_signature_louvain_4,BTNL9
endothelial_cell_signature_louvain_4,C1orf162
endothelial_cell_signature_louvain_4,CARD6
endothelial_cell_signature_louvain_4,CD163
endothelial_cell_signature_louvain_4,CD36
endothelial_cell_signature_louvain_4,CD93
endothelial_cell_signature_louvain_4,CEACAM1
endothelial_cell_signature_louvain_4,CYBRD1
endothelial_cell_signature_louvain_4,EDIL3
endothelial_cell_signature_louvain_4,EMP1
endothelial_cell_signature_louvain_4,ERBB2
endothelial_cell_signature_louvain_4,F13A1
endothelial_cell_signature_louvain_4,F2R
endothelial_cell_signature_louvain_4,FASN
endothelial_cell_signature_louvain_4,FGL2
endothelial_cell_signature_louvain_4,FLI1
endothelial_cell_signature_louvain_4,FOLR2
endothelial_cell_signature_louvain_4,GIMAP1
endothelial_cell_signature_louvain_4,GIMAP4
endothelial_cell_signature_louvain_4,GIMAP5
endothelial_cell_signature_louvain_4,GIMAP6
endothelial_cell_signature_louvain_4,GIMAP7
endothelial_cell_signature_louvain_4,GIMAP8
endothelial_cell_signature_louvain_4,GPR34
endothelial_cell_signature_louvain_4,HEPH
endothelial_cell_signature_louvain_4,HPSE
endothelial_cell_signature_louvain_4,HSD17B11
endothelial_cell_signature_louvain_4,ICAM1
endothelial_cell_signature_louvain_4,ICAM2
endothelial_cell_signature_louvain_4,IFNG
endothelial_cell_signature_louvain_4,LIPA
endothelial_cell_signature_louvain_4,LPL
endothelial_cell_signature_louvain_4,MFGE8
endothelial_cell_signature_louvain_4,MS4A6A
endothelial_cell_signature_louvain_4,OLFML3
endothelial_cell_signature_louvain_4,OLR1
endothelial_cell_signature_louvain_4,PDK4
endothelial_cell_signature_louvain_4,PECAM1
endothelial_cell_signature_louvain_4,PER2
endothelial_cell_signature_louvain_4,PMP22
endothelial_cell_signature_louvain_4,PROC
endothelial_cell_signature_louvain_4,RCAN2
endothelial_cell_signature_louvain_4,SELP
endothelial_cell_signature_louvain_4,SH2D3C
endothelial_cell_signature_louvain_4,SLC39A1
endothelial_cell_signature_louvain_4,SLC40A1
endothelial_cell_signature_louvain_4,SLCO2B1
endothelial_cell_signature_louvain_4,STAB1
endothelial_cell_signature_louvain_4,SVEP1
endothelial_cell_signature_louvain_4,THBD
endothelial_cell_signature_louvain_4,VWF
endothelial_cell_signature_louvain_5,ADA2
endothelial_cell_signature_louvain_5,AOC3
endothelial_cell_signature_louvain_5,ARHGAP15
endothelial_cell_signature_louvain_5,ARHGAP25
endothelial_cell_signature_louvain_5,BSG
endothelial_cell_signature_louvain_5,CD200
endothelial_cell_signature_louvain_5,CD302
endothelial_cell_signature_louvain_5,CD34
endothelial_cell_signature_louvain_5,CD37
endothelial_cell_signature_louvain_5,CD4
endothelial_cell_signature_louvain_5,CD48
endothelial_cell_signature_louvain_5,CD52
endothelial_cell_signature_louvain_5,CD81
endothelial_cell_signature_louvain_5,CSF2RB
endothelial_cell_signature_louvain_5,CXCL10
endothelial_cell_signature_louvain_5,CYB5R3
endothelial_cell_signature_louvain_5,DPYSL2
endothelial_cell_signature_louvain_5,ENTPD1
endothelial_cell_signature_louvain_5,EVI2A
endothelial_cell_signature_louvain_5,EVI2B
endothelial_cell_signature_louvain_5,FILIP1L
endothelial_cell_signature_louvain_5,FOXP3
endothelial_cell_signature_louvain_5,FYN
endothelial_cell_signature_louvain_5,GIN1
endothelial_cell_signature_louvain_5,GMFG
endothelial_cell_signature_louvain_5,GPR183
endothelial_cell_signature_louvain_5,GZMK
endothelial_cell_signature_louvain_5,HMCN1
endothelial_cell_signature_louvain_5,IKBKB
endothelial_cell_signature_louvain_5,IL10RA
endothelial_cell_signature_louvain_5,IL16
endothelial_cell_signature_louvain_5,IL1B
endothelial_cell_signature_louvain_5,IRAG2
endothelial_cell_signature_louvain_5,IRAK3
endothelial_cell_signature_louvain_5,IRF8
endothelial_cell_signature_louvain_5,ITGAX
endothelial_cell_signature_louvain_5,ITK
endothelial_cell_signature_louvain_5,ITM2A
endothelial_cell_signature_louvain_5,KIT
endothelial_cell_signature_louvain_5,LCN2
endothelial_cell_signature_louvain_5,LRRC32
endothelial_cell_signature_louvain_5,LY75-CD302
endothelial_cell_signature_louvain_5,MIR199B
endothelial_cell_signature_louvain_5,MPEG1
endothelial_cell_signature_louvain_5,MYADM
endothelial_cell_signature_louvain_5,MYD88
endothelial_cell_signature_louvain_5,NCF4
endothelial_cell_signature_louvain_5,NLRC3
endothelial_cell_signature_louvain_5,NRP1
endothelial_cell_signature_louvain_5,PGLYRP1
endothelial_cell_signature_louvain_5,PLSCR4
endothelial_cell_signature_louvain_5,PLXNA2
endothelial_cell_signature_louvain_5,RARRES2
endothelial_cell_signature_louvain_5,RNASE6
endothelial_cell_signature_louvain_5,SELL
endothelial_cell_signature_louvain_5,SEMA3G
endothelial_cell_signature_louvain_5,SEMA6D
endothelial_cell_signature_louvain_5,SH2B3
