gene,score,bucket,sub_bucket_id,sub_bucket_label,n_genes
ACVR1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ACVRL1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ANG,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ANGPT1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ANGPT2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ANGPT4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
BMP10,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
BMPER,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
BMPR2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
CCBE1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
CCM2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
CD34,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
CDH5,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
CEMIP2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
CLEC14A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
DLL1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
DLL4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
DNAJA4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
EFNB2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
EGFL7,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ENG,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
EPHB4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ESM1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
FLT1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
FLT4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
FOXC2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
GDF2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
GIPC1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
GJC1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
HEG1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
HEY1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
HEY2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
HSPA12B,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ID1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ITGB1BP1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
KDR,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
KRIT1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
LRG1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
MIR21,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
MMRN2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
NOTCH4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
